1,EW0-1,0
2,EW1-1,3
3,EW2-1,3
4,EW3-1,3
5,EW4-1,3
6,EW5-1,3
7,EW6-1,3
8,EW7-1,3
9,EW8-1,3
10,EW9-1,3
11,EW10-1,3
12,EW11-1,3
13,EW12-1,3
14,EW13-1,3
15,EW14-1,3
16,EW15-1,3
17,EW16-1,3
18,EW17-1,3
19,EW18-1,3
20,EW19-1,3
21,EW20-1,3
22,EW21-1,3
23,EW22-1,3
24,EW23-1,3
25,EW24-1,3
26,EW25-1,3
27,EW26-1,3
28,EW27-1,3
29,EW28-1,3
30,EW29-1,3
31,EW30-1,3
32,EW31-1,3
33,EW32-1,3
34,EW33-1,3
35,EW34-1,3
36,EW35-1,0
37,EW36-1,0
38,EW37-1,0
39,EW38-1,0
40,EW39-1,0
41,EW40-1,0
42,EW41-1,0
43,EW42-1,0
44,EW43-1,0
45,EW44-1,3
46,EW45-1,3
47,EW46-1,3
48,EW47-1,0
49,EW48-1,0
50,EW49-1,0
51,EW50-1,0
52,EW51-1,3
53,EW52-1,0
54,EW53-1,0
55,EW54-1,0
56,EW55-1,0
57,EW56-1,0
58,EW57-1,0
59,EW58-1,0
60,EW59-1,0
61,EW60-1,0
62,EW61-1,0
63,EW62-1,0
64,EW63-1,0
65,EW64-1,0
66,EW65-1,0
67,EW66-1,0
68,EW67-1,0
69,EW68-1,0
70,EW69-1,0
71,EW70-1,0
72,EW71-1,0
73,EW72-1,0
74,EW73-1,0
75,EW74-1,0
76,EW75-1,0
77,EW76-1,0
78,EW77-1,0
79,EW78-1,0
80,EW79-1,0
81,EW80-1,0
82,EW81-1,0
83,EW82-1,0
84,EW83-1,0
85,EW84-1,0
86,EW85-1,0
87,EW86-1,0
88,EW87-1,3
89,EW88-1,3
90,EW89-1,3
91,EW90-1,3
92,EW91-1,3
93,EW92-1,0
94,EW93-1,0
95,EW94-1,0
96,EW95-1,0
97,EW96-1,0
98,EW97-1,0
99,EW98-1,0
100,EW99-1,0
101,EW100-1,0
102,EW101-1,0
103,EW102-1,0
104,EW103-1,0
105,EW104-1,0
106,EW105-1,0
107,EW106-1,3
108,EW107-1,3
109,EW108-1,2
110,EW109-1,2
111,EW110-1,2
112,EW111-1,2
113,EW112-1,2
114,EW113-1,0
115,EW114-1,0
116,EW115-1,0
117,EW116-1,0
118,EW117-1,0
119,EW118-1,0
120,EW119-1,0
121,EW120-1,0
122,EW121-1,0
123,EW122-1,3
124,EW123-1,3
125,EW124-1,3
126,EW125-1,0
127,EW126-1,0
128,EW127-1,0
129,EW128-1,0
130,EW129-1,0
131,EW130-1,0
132,EW131-1,0
133,EW132-1,0
134,EW133-1,0
135,EW134-1,0
136,EW135-1,0
137,EW136-1,0
138,EW137-1,3
139,EW138-1,0
140,EW139-1,0
141,EW140-1,0
142,EW141-1,0
143,EW142-1,0
144,EW143-1,0
145,EW144-1,0
146,EW145-1,0
147,EW146-1,0
148,EW147-1,0
149,EW148-1,0
150,EW149-1,0
151,EW150-1,0
152,EW151-1,0
153,EW152-1,0
154,EW153-1,0
155,EW154-1,0
156,EW155-1,0
157,EW156-1,0
158,EW157-1,0
159,EW158-1,0
160,EW159-1,0
161,EW160-1,0
162,EW161-1,0
163,EW162-1,0
164,EW163-1,0
165,EW164-1,0
166,EW165-1,0
167,EW166-1,0
168,EW167-1,0
169,EW168-1,0
170,EW169-1,0
171,EW170-1,0
172,EW171-1,0
173,EW172-1,0
174,EW173-1,0
175,EW174-1,0
176,EW175-1,0
